F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Target
0.7357088,0.574636294,0.361495521,0.067998513,0.493280851,0.711417653,0.463362114,0.559272604,0.501478473,0.178084361,0.9931881,0
0.687416705,0.714105559,0.087334239,0.754382711,0.174603551,0.64619938,0.713468226,0.557760274,0.563531171,0.641604351,0.434447199,0.001
0.83715145,0.151206598,0.999579487,0.830147836,0.329824392,0.470388873,0.777117341,0.52030931,0.16607839,0.923522209,0.424326634,0.002
0.180730171,0.634625947,0.676539043,0.078352497,0.924688747,0.10549262,0.918474066,0.522112569,0.264351452,0.808825827,0.355092866,0.003
0.188086033,0.567917124,0.144169125,0.457479926,0.602071406,0.400477413,0.179047323,0.266840229,0.265772233,0.861613893,0.315569682,0.004
0.02688349,0.792565483,0.521427514,0.722676955,0.038798083,0.934099597,0.701891087,0.429371186,0.5709168,0.199891612,0.608719945,0.005
0.783304363,0.059902508,0.36867691,0.675920039,0.475084975,0.149251347,0.137176696,0.969337065,0.757992661,0.725208323,0.290752971,0.006
0.006531092,0.422778109,0.612687323,0.183408269,0.676312824,0.824194094,0.868175421,0.249640633,0.966389677,0.409594763,0.827410671,0.007
0.889561942,0.698977154,0.802597595,0.061705964,0.650713367,0.993151117,0.730222665,0.413961525,0.209504939,0.249499467,0.630319652,0.008
0.849809503,0.267728119,0.58208938,0.872388439,0.324452668,0.817962486,0.391467197,0.725742687,0.249473856,0.362674192,0.566826,0.009
0.775610395,0.874716872,0.131910592,0.022102902,0.992905,0.806086178,0.739694916,0.754579891,0.893651438,0.414864238,0.334932288,0.01
0.314524336,0.353531359,0.065318436,0.752787051,0.206783842,0.826510811,0.726119741,0.896225416,0.47057242,0.922660536,0.514178427,0.011
0.469391578,0.852043533,0.633971368,0.526446784,0.670402377,0.238339906,0.141455726,0.047835991,0.038597861,0.834875777,0.125116691,0.012
0.70990379,0.563299698,0.031669101,0.373336083,0.808806839,0.571614827,0.376515105,0.045378864,0.77519655,0.468068397,0.62830848,0.013
